Date,Value
190101,10.77
190102,10.64
190103,14.24
190104,16.49
190105,17.07
190106,22.68
190107,25.7
190108,25.55
190109,24.57
190110,20.59
190111,16.47
190112,14.17
190201,11.81
190202,13.71
190203,13.51
190204,16.69
190205,16.59
190206,21.42
190207,25.98
190208,26.22
190209,24.49
190210,20.89
190211,16.05
190212,13.17
190301,12.27
190302,11.74
190303,13.31
190304,14.21
190305,18.39
190306,20.62
190307,24.12
190308,25.35
190309,23.99
190310,20.97
190311,16.17
190312,14.29
190401,11.69
190402,13.44
190403,13.79
190404,16.21
190405,18.57
190406,23.12
190407,25.92
190408,25.47
190409,23.19
190410,19.99
190411,14.87
190412,12.97
190501,9.59
190502,9.81
190503,13.21
190504,16.01
190505,18.01
190506,21.9
190507,25.9
190508,26.25
190509,25.01
190510,18.79
190511,17.69
190512,13.57
190601,11.51
190602,10.36
190603,13.51
190604,15.01
190605,17.67
190606,21.92
190607,24.95
190608,25.95
190609,23.29
190610,19.87
190611,17.09
190612,12.29
190701,9.89
190702,9.84
190703,10.87
190704,14.29
190705,18.39
190706,21.4
190707,24.72
190708,25.85
190709,23.77
190710,21.89
190711,17.65
190712,14.57
190801,11.91
190802,11.51
190803,12.91
190804,14.04
190805,20.09
190806,22.22
190807,25.00
190808,25.45
190809,22.99
190810,20.65
190811,15.75
190812,12.97
190901,10.69
190902,9.91
190903,13.91
190904,15.41
190905,17.89
190906,21.45
190907,23.82
190908,25.25
190909,24.11
190910,20.97
190911,16.57
190912,14.99
191001,11.79
191002,11.64
191003,12.51
191004,15.21
191005,16.99
191006,21.32
191007,24.1
191008,25.07
191009,21.79
191010,21.95
191011,16.45
191012,14.67
191101,10.39
191102,10.69
191103,13.49
191104,14.61
191105,17.37
191106,22.72
191107,25.68
191108,27.25
191109,24.57
191110,21.77
191111,17.59
191112,15.22
191201,12.67
191202,14.41
191203,15.01
191204,14.91
191205,18.55
191206,21.65
191207,25.72
191208,25.17
191209,21.89
191210,20.39
191211,15.09
191212,13.39
191301,12.79
191302,11.41
191303,14.04
191304,15.24
191305,18.17
191306,21.82
191307,24.00
191308,25.25
191309,25.29
191310,21.39
191311,18.47
191312,14.15
191401,10.89
191402,12.61
191403,14.39
191404,16.31
191405,18.67
191406,21.4
191407,24.32
191408,24.95
191409,22.89
191410,19.75
191411,16.25
191412,14.17
191501,12.31
191502,11.61
191503,13.61
191504,14.94
191505,18.55
191506,22.42
191507,25.1
191508,25.85
191509,22.69
191510,19.59
191511,16.59
